glycan_id,glycan,species,immunogenicity,inferred_origin,link,genus,family,order,class,phylum,kingdom,domain
4199,Glc(a1-2)LDManHep(a1-6)[LDManHep(a1-2)]DDManHepOPGroA(a1-5)KdoOPN,['Shewanella_japonica'],,,,['Shewanella'],['Shewanellaceae'],['Alteromonadales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria']
4200,[Gal(b1-4)]Man(a1-6)[Gal(b1-4)]Man(a1-6)Man,['Ramalina_usnea'],,,,['Ramalina'],['Ramalinaceae'],['Lecanorales'],['Lecanoromycetes'],['Ascomycota'],['Fungi'],['Eukarya']
4201,Glc(b1-4)Man(b1-4)Glc(b1-4)Man,,,Angiosperms,,,,,,,,
4202,Xyl(b1-2)[Glc(b1-6)]Glc(b1-3)[Rha(a1-2)]Ara,"['Hovenia_dulcis', 'Ziziphus_jujuba', 'Ziziphus_lotus']",,,,"['Hovenia', 'Ziziphus']",['Rhamnaceae'],['Rosales'],['Dicotyledons'],['Angiosperms'],['Plantae'],['Eukarya']
4203,LDManHep(a1-4)[Gal(a1-7)]Kdo(a2-2)Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHepOP(a1-5)Kdo(a2-6)GlcN(b1-6)GlcN,,,Bacteria,,,,,,,,
4204,Man(a1-6)Man(a1-4)GlcN,['Leishmania_donovani'],,,,['Leishmania'],['Trypanosomatidae'],['Trypanosomatida'],['Kinetoplastida'],['Euglenozoa'],['Excavata'],['Eukarya']
4205,[ManOMe(a1-3)]GlcNAc(a1-6)GlcNAcOP(a1-6)GlcNAc,['Spirilliplanes_yamanashiensis'],,,,['Spirilliplanes'],['Micromonosporaceae'],['Micromonosporales'],['Actinobacteria'],['Actinobacteria'],['Bacteria'],['Bacteria']
4206,Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(a1-4)GlcNAc,,,Mammalia,,,,,,,,
4207,L-ThrHexA4en(a1-3)GalNAc(b1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-3)XylOP,,,Bacteria,,,,,,,,
4208,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)Gal(b1-4)Glc,,,Chordata,,,,,,,,
