seqs,preds,method
"['ManOMe', 'a1-2', 'Man', 'a1-2', '1-3', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00013483576,Mutated-Random
"['QuiNAlaBut', 'b1-6', 'GlcNAc', 'a1-3', 'L-QuiNAc', '2,5-Anhydro-Man-ol', 'GlcNAcOAc', 'a1-3', 'QuiNAlaBut', '1-1', '1-1']",1.0386114e-05,Mutated-Random
"['Man', 'a1-2', 'Man', '1dAlt-ol', 'Man', 'a1-3', 'Man', 'a1-6', 'Man', 'a1-2', 'Man']",5.1071606e-06,Mutated-Random
"['ManOAc', 'a1-2', 'Man', 'a1-4', 'ManOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '2,5-Anhydro-Man']",6.253579e-05,Mutated-Random
"['Galf', 'a1-2', 'Galf', 'a1-3', 'Man', 'a1-2', 'Man', 'a1-3', '1-2', 'a1-2', 'Galf']",2.7542272e-05,Mutated-Random
"['D-Araf', 'b1-3', 'D-Araf', 'b1-5', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00010146131,Mutated-Random
"['ManOAc', 'a1-2', 'Man', 'a1-4', 'ManOAc', '1-1', '1-1', '1-1', '1-1', '1-5', '1-1']",0.0002107006,Mutated-Random
"['Glc', 'b1-6', 'Glc', 'b1-3', '2,5-Anhydro-Man-ol', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.0011145911,Mutated-Random
"['Glc', 'b1-2', '1dAlt-ol', 'b1-3', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.13913975e-05,Mutated-Random
"['Man', '1-5', 'Man', 'a1-6', 'Man', 'a1-3', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc']",5.001249e-05,Mutated-Random
"['Glc', '1dAlt-ol', 'Glc', 'a1-3', 'GlcOMe', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2.9173645e-05,Mutated-Random
"['Man', 'a1-3', '1dAlt-ol', 'a1-6', 'Man', 'a1-3', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc']",0.00012700286,Mutated-Random
"['Man', 'a1-3', 'Man', 'a1-6', '1-6', 'a1-3', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc']",7.294264e-06,Mutated-Random
"['D-Araf', 'b1-3', '1-6', 'b1-5', 'D-Araf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00031873013,Mutated-Random
"['GalfOAc', 'b1-4', 'GlcA', '1dAlt-ol', 'GalfOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00015016935,Mutated-Random
"['Glc', 'b1-6', 'Glc', 'b1-3', 'Glc', '1-1', '1-1', '1-1', '2,5-Anhydro-Man', '1-1', '1-1']",1.3832714e-05,Mutated-Random
"['GalfOAc', 'b1-4', 'GlcA', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-3']",8.7788154e-05,Mutated-Random
"['Man', 'a1-2', 'Man', 'a1-6', 'Man', 'a1-3', 'Man', 'a1-6', '2,5-Anhydro-Man-ol', 'a1-2', 'Man']",9.417158e-06,Mutated-Random
"['1dAlt-ol', 'a1-2', 'Man', 'a1-4', 'ManOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00046205794,Mutated-Random
"['D-Araf', 'b1-3', 'D-Araf', 'b1-5', 'D-Araf', '1-1', '1-1', '1-1', '1-1', '1-1', '2,5-Anhydro-Man-ol']",0.0002986198,Mutated-Random
"['Glc', 'b1-2', 'Glc', 'b1-4', '1-5', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",6.1689625e-06,Mutated-Random
"['Man', '1-1', 'Man', 'a1-2', 'Man', 'a1-2', 'Man', 'a1-2', 'Man', 'a1-2', 'Man']",3.5811856e-05,Mutated-Random
"['Galf', 'a1-2', 'Galf', 'a1-3', 'Man', '1dAlt-ol', 'Man', 'a1-3', 'Galf', 'a1-2', 'Galf']",4.8911697e-06,Mutated-Random
"['Galf', 'a1-2', 'Galf', 'a1-3', 'Man', '1-3', 'Man', 'a1-3', 'Galf', 'a1-2', 'Galf']",1.5724258e-05,Mutated-Random
